id,year,locationid,name,date
337,2010,3,MySQL,3/14/2010
338,2010,1,AWS developer,3/28/2010
339,2010,2,AWS Data Analytics,4/4/2010
340,2010,17,Spark,4/18/2010
341,2010,4,Python,5/9/2010
343,2010,5,Data Sciences,5/30/2010
345,2010,12,AWS Architect,6/27/2010
346,2010,9,Databricks,7/11/2010
347,2010,10,Azure Data Engineer,7/25/2010
348,2010,11,GCP Data Professional,8/1/2010
349,2010,13,AWS Databases,8/29/2010
350,2010,14,AWS ML,9/12/2010
351,2010,15,Azure ML,9/26/2010
352,2010,22,DevOps,10/10/2010
354,2010,18,Hadoop,11/7/2010
355,2010,24,Scala,11/14/2010
841,2011,1,AWS developer,3/27/2011
842,2011,2,AWS Data Analytics,4/10/2011
843,2011,17,Spark,4/17/2011
844,2011,5,Data Sciences,5/8/2011
845,2011,4,Python,5/22/2011
848,2011,12,AWS Architect,6/26/2011
849,2011,9,Databricks,7/10/2011
850,2011,20,Azure Data Engineer,7/24/2011
851,2011,11,GCP Data Professional,7/31/2011
852,2011,13,AWS Databases,8/28/2011
853,2011,14,AWS ML,9/11/2011
854,2011,15,Azure ML,9/25/2011
855,2011,22,DevOps,10/9/2011
858,2011,24,Scala,11/13/2011
859,2011,18,Hadoop,11/27/2011
860,2012,1,AWS developer,3/18/2012
861,2012,2,AWS Data Analytics,3/25/2012
862,2012,17,Spark,4/15/2012
863,2012,3,MySQL,4/22/2012
864,2012,4,Python,5/13/2012
867,2012,12,AWS Architect,6/24/2012
868,2012,9,Databricks,7/8/2012
869,2012,10,Azure Data Engineer,7/22/2012
870,2012,11,GCP Data Professional,7/29/2012
871,2012,13,AWS Databases,9/2/2012
872,2012,14,AWS ML,9/9/2012
873,2012,15,Azure ML,9/23/2012
874,2012,22,DevOps,10/7/2012
877,2012,24,Scala,11/4/2012
879,2012,18,Hadoop,11/25/2012
880,2013,1,AWS developer,3/17/2013
881,2013,2,AWS Data Analytics,3/24/2013
882,2013,17,Spark,4/14/2013
883,2013,3,MySQL,4/21/2013
884,2013,4,Python,5/12/2013
887,2013,9,Databricks,6/30/2013
888,2013,20,Azure Data Engineer,7/7/2013
890,2013,11,GCP Data Professional,7/28/2013
891,2013,13,AWS Databases,8/25/2013
892,2013,14,AWS ML,9/8/2013
893,2013,15,Azure ML,9/22/2013
895,2013,22,DevOps,10/13/2013
897,2013,24,Scala,11/3/2013
899,2013,18,Hadoop,11/24/2013
900,2014,1,AWS developer,3/16/2014
901,2014,2,AWS Data Analytics,3/30/2014
902,2014,3,MySQL,4/6/2014
903,2014,17,Spark,4/20/2014
904,2014,4,Python,5/11/2014
908,2014,9,Databricks,7/6/2014
909,2014,10,Azure Data Engineer,7/20/2014
910,2014,11,GCP Data Professional,7/27/2014
911,2014,13,AWS Databases,8/24/2014
912,2014,14,AWS ML,9/7/2014
913,2014,15,Azure ML,9/21/2014
914,2014,22,DevOps,10/5/2014
917,2014,18,Hadoop,11/9/2014
918,2014,24,Scala,11/23/2014
926,2015,1,AWS developer,3/15/2015
927,2015,2,AWS Data Analytics,3/29/2015
928,2015,17,Spark,4/12/2015
929,2015,3,MySQL,4/19/2015
930,2015,4,Python,5/10/2015
934,2015,9,Databricks,7/5/2015
936,2015,11,GCP Data Professional,7/26/2015
937,2015,13,AWS Databases,8/23/2015
938,2015,14,AWS ML,9/6/2015
